"Can't create index directory : %s","Nie można utworzyć katalogu indeksowania : %s"
"Manufacturer: %s","Producent: %s"
"Score: %s","Wynik: %s"
"Search Results","Wyniki wyszukiwania"
"Search results for: %s","Wyniki wyszukiwania dla: %s"
"Search Results for: '%s'","Wyniki wyszukiwania dla: '%s'"
"Shoe Type: %s","Rodzaj obuwia: %s"
"SKU: %s","Kod producenta: %s"
"There are no products under search term '%s'","Brak wyników dla frazy '%s'"
